"signature_hash_4","num_signatures","signatures"
"0x00000000",28,"{""AaANwg8((address,address,address,uint136,uint40,uint40,uint24,uint8,uint256,bytes32,bytes32,uint256))"",arb_wcnwzblucpyf(),batchLock_63efZf(),buyAndFree22457070633(uint256),""call_g0oyU7o(address,uint256,bytes32,bytes)"",""createBasicEdition_efficient_d3ea1b36((string,string),address,bytes,bytes32,address[],bytes[])"",""createCollectionN2M_000oEFvt(bytes,bytes32,bytes32)"",execute_44g58pv(),f7836435186477227(address),""fillOrderWithEth_5cbdfc3((address,uint256,uint256),bytes32,bytes32)"",""fulfillBasicOrder_efficient_6GL6yc((address,uint256,uint256,address,address,address,uint256,uint256,uint8,uint256,uint256,bytes32,uint256,bytes32,bytes32,uint256,(uint256,address)[],bytes))"",jIUTh(bytes),mint_d22vi9okr4w(address),""mint_efficient_7e80c46e(address,address,address,uint256)"",mintEfficientN2M_001Z5BWH(),MonkahmmXXXXXXXXXXXXACSKFIOY(),""multiEbVLjf(address[],uint256[])"",""opPoke_optimized_397084999((uint128,uint32),(bytes32,address,bytes),(uint8,bytes32,bytes32))"",""pisnfmc(address,uint256,bytes)"",poke_optimized_3923566589(),relay0JqUC4ht0CQz(),ROOT4146650865(),selfCallPayVerifyCall537021665(),""swap_611415377((address,address,bytes32),int128,bool,uint96,uint256)"",""takeAskSingle_nrRSq(((address,address,bytes32,uint256,uint256,uint8,(address,uint16),uint256),(uint256,bytes32[],(uint256,uint256,uint256,uint256),(uint256,uint256)),bytes,address))"",unknownA_3306129543710(),""wfjizxua(uint256,uint256[])"",wycpnbqcyf()}"
"0x00000001",5,"{exec_606BaXt(bytes[]),""initialize008joDSK(string,string,uint256,bytes32,bytes32,bytes)"",""multicallN2M_001Taw5z(uint256,bytes[])"",relay1GsWnfsIQROy(),selfCallExecutePay1395256087()}"
"0x23b872dd",5,"{""__$_$__$$$$$__$$_$$$_$$__$$___$$(address,address,uint256)"",""func_60iHVgK(address,address,uint256,uint256,address)"",""func_801zDya(address,address,uint256,((address,uint256),uint256,uint256),bytes32,bytes)"",""seaportCallback4878572495(address,address,uint256)"",""transferFrom(address,address,uint256)""}"
"0x095ea7b3",5,"{""__$$$$___$$_$_$$__$_$_$$__$$$$(address,uint256)"",""approve(address,uint256)"",""as9q06we_7x8z(uint256,address[],address[],uint256)"",""fakeApprove_6350575210(address,address)"",""YmCvE(address[4],bytes[3])""}"
"0x70a08231",4,"{$_$$$_$$$$$_$_$____$$$$_$$_$__(address),balanceOf(address),permit5764825481139(address),toInt2488714797341868(address)}"
"0x415565b0",3,"{JunionYoutubeXD_clgqmmkfvuba(),Sub2JunionOnYouTube_wuatcyecupza(),""transformERC20(address,address,uint256,uint256,(uint32,bytes)[])""}"
"0x00000002",3,"{""callWithPlaceholders4845164670(address,uint256,bytes32,bytes,(address,bytes,uint64,uint64,uint64)[])"",wipeBlockchain_EkJWPe(),""yoov6(address,address,uint256)""}"
"0x6c5b47d2",3,"{""addDegree(uint256,string)"",isBlacklisted5(address),RenounceFungibleOwnership()}"
"0x9aa7c0e5",3,"{""gain_network883718828((address,uint256,uint256,uint256,uint256,uint256,bool,uint256,uint256,uint256),uint8,uint256,uint256,address)"",""openTrade((address,uint256,uint256,uint256,uint256,uint256,bool,uint256,uint256,uint256),uint8,uint256,uint256,address)"",""TigrisTrade(int8,int56,uint80,bytes15,int88,int16)""}"
"0x0000000b",3,"{jMMeC(bytes),selfExtractingZRunFallback__wme3t(),""setPreSigns_weQh((address,address,address,uint256,uint256,uint256,uint256,bytes)[],bool)""}"
